step,loss,wallclock_s,wallclock_h,tokens_seen,bits_per_base,total_flops,smooth_5k,smooth_10k,smooth_50k
50,8.3921,68.67873910127432,0.019077427528131755,512000,3.0268102631610674,3911245381632000,5.222447058823529,4.828143564356436,4.033332934131736
100,7.0783,133.89336144237734,0.03719260040066037,1024000,2.5529570769810874,7822490763264000,5.211848076923076,4.82261274509804,4.032459960159362
150,6.673,200.44737158146484,0.05567982543929579,1536000,2.406776001963013,11733736144896000,5.200201886792452,4.81741650485437,4.031421669980119
200,6.4054,267.53332545987155,0.0743148126277421,2048000,2.310259703727542,15644981526528000,5.188609259259259,4.81216923076923,4.030476785714286
250,6.0843,334.8132203350358,0.09300367231528772,2560000,2.19444735932018,19556226908160000,5.177425454545454,4.806874285714286,4.029487128712871
300,6.0294,402.15505908289845,0.11170973863413845,3072000,2.174646369883979,23467472289792000,5.165394642857143,4.801405660377358,4.028606916996047
350,5.9563,469.4349539580627,0.13039859832168407,3584000,2.148281118011733,27378717671424000,5.152708771929824,4.796689719626167,4.027662327416174
400,5.8099,536.6883363303207,0.14908009342508907,4096000,2.0954784795151973,31289963053056000,5.141810344827586,4.791397222222222,4.026702362204724
450,5.6684,604.181086132588,0.16782807948127446,4608000,2.0444431424437504,35201208434688000,5.130927118644068,4.7871321100917426,4.025675834970531
500,5.5556,671.6560465964784,0.18657112405457735,5120000,2.0037591422906815,39112453816320000,5.121251666666667,4.782440909090909,4.024881568627451
550,5.5267,738.7771792655922,0.20521588312933114,5632000,1.9933356706202585,43023699197952000,5.111168852459016,4.777518018018018,4.023927788649707
600,5.5395,805.6091855310927,0.22378032931419242,6144000,1.9979522947511035,46934944579584000,5.100540322580645,4.772799999999999,4.022940625
650,5.506,873.0663660317515,0.24251843500881987,6656000,1.9858697237836582,50846189961216000,5.090630158730159,4.768176991150442,4.022084600389864
700,5.3319,940.4791375919885,0.2612442048866635,7168000,1.923076422128966,54757435342848000,5.0808484375,4.763783333333333,4.021076653696498
750,5.2469,1007.2153211164932,0.2797820336434703,7680000,1.8924191525100755,58668680724480000,5.071952307692308,4.7588982608695645,4.020241941747574
800,5.2857,1074.3452542487864,0.2984292372913296,8192000,1.9064132944066987,62579926106112000,5.0622181818181815,4.7547655172413785,4.019124031007752
850,5.265,1141.2383820251125,0.3170106616736424,8704000,1.898947347570098,66491171487744000,5.053686567164179,4.749835042735042,4.018212379110252
900,5.1689,1208.105301184052,0.3355848058844589,9216000,1.8642865992127406,70402416869376000,5.045841176470588,4.745435593220338,4.017455405405406
950,5.1733,1275.3321919403545,0.354258942205654,9728000,1.8658735637577188,74313662251008000,5.037642028985506,4.740768907563025,4.016575337186898
1000,5.1883,1342.7982612511992,0.372999517014222,10240000,1.8712836701610522,78224907632640000,5.029059999999999,4.736544166666666,4.015659615384616
1050,5.1141,1410.3266178853326,0.39175739385703684,10752000,1.8445216771525619,82136153014272000,5.021560563380281,4.731468595041322,4.014679078694818
1100,5.049,1477.5976729372312,0.41044379803811976,11264000,1.8210418153620942,86047398395904000,5.0144375,4.7270377049180325,4.013688505747127
1150,5.056,1544.5958409560744,0.42905440026557623,11776000,1.8235665316836498,89958643777536000,5.006780821917808,4.722424390243901,4.012879732313576
1200,4.9769,1611.822731712377,0.44772853658677136,12288000,1.7950372372500705,93869889159168000,4.998922972972972,4.718269354838709,4.011858396946565
1250,5.0067,1679.3867327680643,0.4664963146577957,12800000,1.8057853153046934,97781134540800000,4.991459999999999,4.714039199999999,4.010993523809524
1300,4.9586,1746.4990672811066,0.48513862980030736,13312000,1.7884369074380033,101692379922432000,4.983174999999999,4.710286507936508,4.010212357414449
1350,4.9412,1813.4797056903165,0.5037443626917546,13824000,1.7821611840101366,105603625304064000,4.975816883116883,4.706355905511811,4.009471157495256
1400,4.995,1881.016969903481,0.5225047138620781,14336000,1.8015654323100931,109514870685696000,4.968882051282051,4.70280703125,4.008599242424242
1450,4.9338,1948.4119942551988,0.5412255539597775,14848000,1.7794921981844918,113426116067328000,4.961807594936709,4.698482170542635,4.007697920604915
1500,4.9607,2015.7715522080998,0.5599365422800278,15360000,1.7891943223344704,117337361448960000,4.955326250000001,4.694330769230769,4.006663018867925
1550,4.8768,2083.273200197553,0.5786870000548757,15872000,1.7589337938518244,121248606830592000,4.948862962962964,4.690550381679389,4.005717325800377
1600,4.8562,2150.953305947718,0.5974870294299217,16384000,1.751503914391246,125159852212224000,4.942743902439024,4.686712121212121,4.004699624060152
1650,4.7538,2218.615523471175,0.6162820898531042,16896000,1.7145709213444886,129071097593856000,4.935259036144578,4.683078947368421,4.003859474671669
1700,4.817,2286.2330617701714,0.6350647393806031,17408000,1.7373655029905344,132982342975488000,4.928588095238096,4.679425373134328,4.002909550561799
1750,4.8588,2353.859531192969,0.6538498697758247,17920000,1.7524416661678237,136893588357120000,4.922951764705883,4.675723703703704,4.002158878504673
1800,4.7779,2421.4146176159798,0.6726151715599944,18432000,1.7232631589658445,140804833738752000,4.916755813953489,4.672200735294118,4.001289365671642
1850,4.7281,2489.4093055309863,0.6915025848697184,18944000,1.7053016057067771,144716079120384000,4.910250574712644,4.668608029197081,4.000475791433892
1900,4.8082,2557.259822361095,0.7103499506558597,19456000,1.7341915739005787,148627324502016000,4.903142045454545,4.665265217391305,3.9995836431226772
1950,4.8112,2624.7970865742595,0.7291103018261832,19968000,1.7352735951812455,152538569883648000,4.8974247191011235,4.660999280575539,3.998770500927644
2000,4.7533,2692.593696743751,0.7479426935399308,20480000,1.7143905844643776,156449815265280000,4.890765555555555,4.657475,3.9978801851851853
2050,4.7299,2760.381330796445,0.7667725918879015,20992000,1.705950818475177,160361060646912000,4.883779120879121,4.653678014184397,3.9969876155268023
2100,4.6428,2828.258833116477,0.7856274536434659,21504000,1.67453613395982,164272306028544000,4.877853260869564,4.649788028169014,3.996119926199262
2150,4.6941,2896.1993851334623,0.8044998292037395,22016000,1.6930386978592207,168183551410176000,4.872420430107526,4.6462545454545445,3.995283977900553
2200,4.7238,2964.0678899054665,0.8233521916404074,22528000,1.7037507085378214,172094796791808000,4.866105319148935,4.6425520833333325,3.9944840073529413
2250,4.6762,3031.864500074958,0.842184583354155,23040000,1.6865826375512427,176006042173440000,4.860257894736841,4.639156551724137,3.9935291743119263
2300,4.7204,3099.117882447216,0.8608660784575599,23552000,1.7025244177530656,179917287555072000,4.85539375,4.63590205479452,3.992602380952381
2350,4.683,3166.424310736949,0.8795623085380414,24064000,1.6890352191207538,183828532936704000,4.849572164948453,4.633085714285714,3.9917864716636196
2400,4.6355,3233.9526673710825,0.8983201853808562,24576000,1.6719032155101976,187739778318336000,4.843538775510204,4.629854729729729,3.990903467153285
2450,4.6605,3301.5970061212474,0.9171102794781243,25088000,1.6809200595157534,191651023699968000,4.838482828282829,4.625987248322147,3.9899790528233154
2500,4.6414,3369.4385325555922,0.935955147932109,25600000,1.6740311906955088,195562269081600000,4.833005000000001,4.622937333333333,3.9890898181818186
2550,4.619,3437.5780055393557,0.9548827793164877,26112000,1.6659520984665304,199473514463232000,4.828143564356436,4.619551655629138,3.9882003629764062
2600,4.6713,3505.7084113943124,0.9738078920539757,26624000,1.6848153361261535,203384759844864000,4.787271287128713,4.6158381578947365,3.9873692028985506
2650,4.5946,3573.7301996233546,0.9927028332287096,27136000,1.6571516587171078,207296005226496000,4.759638613861386,4.612478431372549,3.9865985533453885
2700,4.5742,3641.9968662900214,1.0116657961916726,27648000,1.6497939140085742,211207250608128000,4.735863366336634,4.609352597402598,3.985902166064982
2750,4.5735,3710.036733399656,1.0305657592776822,28160000,1.6495414423764185,215118495989760000,4.714584158415842,4.606289032258064,3.985011711711712
2800,4.5037,3777.8064223473725,1.0493906728742701,28672000,1.6243664139129064,219029741371392000,4.6961970297029705,4.603157051282051,3.9841543165467628
2850,4.4423,3845.7740315336196,1.0682705643148944,29184000,1.6022210450352607,222940986753024000,4.6790425742574255,4.60046178343949,3.983321364452424
2900,4.5206,3913.7506645660146,1.0871529623794485,29696000,1.6304618004606621,226852232134656000,4.66190198019802,4.597358860759495,3.982493010752688
2950,4.4997,3981.243414368282,1.105900948435634,30208000,1.6229237188720171,230763477516288000,4.647214851485148,4.594052201257862,3.9816713774597496
3000,4.5504,4048.620700853346,1.1246168613481518,30720000,1.6412098785152847,234674722897920000,4.633380198019802,4.59056875,3.980831428571428
3050,4.5062,4131.522255257491,1.1476450709048587,31232000,1.6252680983134618,238585968279552000,4.620314851485149,4.587488198757764,3.9798791443850265
3100,4.4522,4199.104092638695,1.1664178035107486,31744000,1.605791715261461,242497213661184000,4.607665346534654,4.584043209876543,3.979033096085409
3150,4.4762,4267.334369824196,1.185370658284499,32256000,1.6144478855067947,246408459042816000,4.59490198019802,4.581186503067485,3.9782836589698043
3200,4.4646,4335.374236933831,1.2042706213705086,32768000,1.6102640698882165,250319704424448000,4.582637623762376,4.578314634146341,3.9774443262411343
3250,4.5026,4403.477455875039,1.2231881821875108,33280000,1.6239696727766617,254230949806080000,4.571450495049505,4.575245454545455,3.976658407079646
3300,4.4295,4471.607861729995,1.2421132949249987,33792000,1.597604420904416,258142195187712000,4.561872277227723,4.572098192771084,3.975716254416961
3350,4.4906,4539.503366304985,1.2609731573069403,34304000,1.6196415876539947,262053440569344000,4.55090396039604,4.569086826347307,3.974907936507936
3400,4.5202,4607.237193530809,1.2797881093141137,34816000,1.6303175309565732,265964685950976000,4.540663366336634,4.565943452380952,3.974154401408451
3450,4.4801,4674.872596437018,1.2985757212325049,35328000,1.6158545131716613,269875931332608000,4.530972277227723,4.563416568047337,3.973186994727592
3500,4.4369,4742.633316394667,1.3173981434429631,35840000,1.6002734067300604,273787176714240000,4.5216702970297025,4.560502352941176,3.9723485964912277
3550,4.4966,4810.555842263599,1.3362655117398885,36352000,1.6218056302153283,277698422095872000,4.511116831683169,4.557385380116958,3.9714933450087564
3600,4.5087,4877.92426331623,1.3549789620322863,36864000,1.6261697827140174,281609667477504000,4.501976237623762,4.554313953488371,3.970524825174825
3650,4.4555,4945.479349739241,1.3737442638164559,37376000,1.606981938670194,285520912859136000,4.493170297029703,4.551302890173409,3.969733158813263
3700,4.4253,5013.537305342059,1.3926492514839053,37888000,1.5960895911114825,289432158240768000,4.484766336633664,4.548591379310345,3.9689841463414632
3750,4.4392,5081.477857359044,1.4115216270441788,38400000,1.6011029563785715,293343403622400000,4.476970297029704,4.545436571428571,3.968216347826087
3800,4.3618,5149.24754630676,1.4303465406407667,38912000,1.57318680733737,297254649004032000,4.469391089108911,4.542702840909091,3.9674243055555554
