Using device: cuda
Output directory: paper/review/wl_lm/raw_gdn/leveltyped-gdn2-lm_100m_20260607_154529
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.1s, 1040.9s remaining for training.
step    410 | loss 6.7863 | lr 3.00e-04 | grad 1.31 | tok/s 48960 | elapsed_h 0.024 | time 2026-06-07T15:46:49+00:00
step    420 | loss 6.8448 | lr 3.00e-04 | grad 1.20 | tok/s 49004 | elapsed_h 0.025 | time 2026-06-07T15:46:50+00:00
step    430 | loss 6.8974 | lr 3.00e-04 | grad 1.29 | tok/s 48904 | elapsed_h 0.025 | time 2026-06-07T15:46:52+00:00
step    440 | loss 6.8084 | lr 3.00e-04 | grad 1.43 | tok/s 48882 | elapsed_h 0.026 | time 2026-06-07T15:46:54+00:00
step    450 | loss 6.7638 | lr 3.00e-04 | grad 1.24 | tok/s 48793 | elapsed_h 0.026 | time 2026-06-07T15:46:55+00:00
step    460 | loss 6.7964 | lr 3.00e-04 | grad 1.35 | tok/s 48806 | elapsed_h 0.026 | time 2026-06-07T15:46:57+00:00
step    470 | loss 6.7717 | lr 3.00e-04 | grad 1.35 | tok/s 48925 | elapsed_h 0.027 | time 2026-06-07T15:46:59+00:00
step    480 | loss 6.7121 | lr 3.00e-04 | grad 1.23 | tok/s 49171 | elapsed_h 0.027 | time 2026-06-07T15:47:01+00:00
step    490 | loss 6.7186 | lr 3.00e-04 | grad 1.56 | tok/s 49390 | elapsed_h 0.028 | time 2026-06-07T15:47:02+00:00
step    500 | loss 6.7625 | lr 3.00e-04 | grad 1.20 | tok/s 49452 | elapsed_h 0.028 | time 2026-06-07T15:47:04+00:00
  >>> validation loss: 8.8163
step    510 | loss 6.7002 | lr 3.00e-04 | grad 1.30 | tok/s 519 | elapsed_h 0.072 | time 2026-06-07T15:49:42+00:00
step    520 | loss 6.7240 | lr 3.00e-04 | grad 1.38 | tok/s 49972 | elapsed_h 0.073 | time 2026-06-07T15:49:44+00:00
step    530 | loss 6.6908 | lr 3.00e-04 | grad 1.40 | tok/s 49971 | elapsed_h 0.073 | time 2026-06-07T15:49:45+00:00
step    540 | loss 6.7229 | lr 3.00e-04 | grad 1.16 | tok/s 49917 | elapsed_h 0.074 | time 2026-06-07T15:49:47+00:00
step    550 | loss 6.5955 | lr 3.00e-04 | grad 1.18 | tok/s 49897 | elapsed_h 0.074 | time 2026-06-07T15:49:49+00:00
step    560 | loss 6.6854 | lr 3.00e-04 | grad 1.42 | tok/s 49798 | elapsed_h 0.075 | time 2026-06-07T15:49:50+00:00
step    570 | loss 6.6029 | lr 3.00e-04 | grad 1.30 | tok/s 49751 | elapsed_h 0.075 | time 2026-06-07T15:49:52+00:00
step    580 | loss 6.6851 | lr 3.00e-04 | grad 1.48 | tok/s 49684 | elapsed_h 0.075 | time 2026-06-07T15:49:54+00:00
