Using device: cuda
Output directory: paper/review/wl_lm/raw_none/leveltyped-gdn2-lm_100m_20260607_154523
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.5s, 1040.5s remaining for training.
step    410 | loss 6.3932 | lr 3.00e-04 | grad 1.61 | tok/s 42149 | elapsed_h 0.028 | time 2026-06-07T15:46:58+00:00
step    420 | loss 6.4908 | lr 3.00e-04 | grad 1.41 | tok/s 42078 | elapsed_h 0.029 | time 2026-06-07T15:47:00+00:00
step    430 | loss 6.4342 | lr 3.00e-04 | grad 1.60 | tok/s 41877 | elapsed_h 0.029 | time 2026-06-07T15:47:02+00:00
step    440 | loss 6.3782 | lr 3.00e-04 | grad 1.62 | tok/s 41985 | elapsed_h 0.030 | time 2026-06-07T15:47:04+00:00
step    450 | loss 6.4084 | lr 3.00e-04 | grad 1.72 | tok/s 41970 | elapsed_h 0.030 | time 2026-06-07T15:47:06+00:00
step    460 | loss 6.3374 | lr 3.00e-04 | grad 1.66 | tok/s 41890 | elapsed_h 0.031 | time 2026-06-07T15:47:08+00:00
step    470 | loss 6.3484 | lr 3.00e-04 | grad 1.66 | tok/s 41926 | elapsed_h 0.031 | time 2026-06-07T15:47:10+00:00
step    480 | loss 6.3277 | lr 3.00e-04 | grad 1.98 | tok/s 41850 | elapsed_h 0.032 | time 2026-06-07T15:47:12+00:00
step    490 | loss 6.3910 | lr 3.00e-04 | grad 1.74 | tok/s 42155 | elapsed_h 0.033 | time 2026-06-07T15:47:14+00:00
step    500 | loss 6.3812 | lr 3.00e-04 | grad 1.62 | tok/s 41843 | elapsed_h 0.033 | time 2026-06-07T15:47:16+00:00
  >>> validation loss: 8.6122
step    510 | loss 6.2392 | lr 3.00e-04 | grad 1.77 | tok/s 543 | elapsed_h 0.075 | time 2026-06-07T15:49:47+00:00
step    520 | loss 6.3597 | lr 3.00e-04 | grad 1.88 | tok/s 45088 | elapsed_h 0.076 | time 2026-06-07T15:49:49+00:00
step    530 | loss 6.3101 | lr 3.00e-04 | grad 1.78 | tok/s 45564 | elapsed_h 0.076 | time 2026-06-07T15:49:51+00:00
step    540 | loss 6.3323 | lr 3.00e-04 | grad 1.54 | tok/s 44922 | elapsed_h 0.077 | time 2026-06-07T15:49:53+00:00
step    550 | loss 6.2119 | lr 3.00e-04 | grad 1.64 | tok/s 44826 | elapsed_h 0.077 | time 2026-06-07T15:49:55+00:00
step    560 | loss 6.2999 | lr 3.00e-04 | grad 1.74 | tok/s 44929 | elapsed_h 0.078 | time 2026-06-07T15:49:56+00:00
step    570 | loss 6.2576 | lr 3.00e-04 | grad 1.77 | tok/s 44585 | elapsed_h 0.078 | time 2026-06-07T15:49:58+00:00
step    580 | loss 6.3137 | lr 3.00e-04 | grad 2.00 | tok/s 44454 | elapsed_h 0.079 | time 2026-06-07T15:50:00+00:00
step    590 | loss 6.2263 | lr 3.00e-04 | grad 1.55 | tok/s 44342 | elapsed_h 0.079 | time 2026-06-07T15:50:02+00:00
step    600 | loss 6.2219 | lr 3.00e-04 | grad 1.57 | tok/s 44193 | elapsed_h 0.080 | time 2026-06-07T15:50:04+00:00
step    610 | loss 6.2009 | lr 3.00e-04 | grad 1.56 | tok/s 44301 | elapsed_h 0.080 | time 2026-06-07T15:50:06+00:00
step    620 | loss 6.2864 | lr 3.00e-04 | grad 1.70 | tok/s 44175 | elapsed_h 0.081 | time 2026-06-07T15:50:08+00:00
step    630 | loss 6.3000 | lr 3.00e-04 | grad 1.57 | tok/s 44236 | elapsed_h 0.081 | time 2026-06-07T15:50:09+00:00
step    640 | loss 6.1352 | lr 3.00e-04 | grad 1.54 | tok/s 43976 | elapsed_h 0.082 | time 2026-06-07T15:50:11+00:00
step    650 | loss 6.2959 | lr 3.00e-04 | grad 1.80 | tok/s 44235 | elapsed_h 0.082 | time 2026-06-07T15:50:13+00:00
step    660 | loss 6.1827 | lr 3.00e-04 | grad 2.36 | tok/s 43800 | elapsed_h 0.083 | time 2026-06-07T15:50:15+00:00
step    670 | loss 6.2126 | lr 3.00e-04 | grad 1.70 | tok/s 43726 | elapsed_h 0.083 | time 2026-06-07T15:50:17+00:00
step    680 | loss 6.0879 | lr 3.00e-04 | grad 1.68 | tok/s 43688 | elapsed_h 0.084 | time 2026-06-07T15:50:19+00:00
step    690 | loss 6.2081 | lr 3.00e-04 | grad 1.61 | tok/s 43515 | elapsed_h 0.084 | time 2026-06-07T15:50:21+00:00
step    700 | loss 6.1217 | lr 3.00e-04 | grad 1.80 | tok/s 43428 | elapsed_h 0.085 | time 2026-06-07T15:50:23+00:00
step    710 | loss 6.2506 | lr 3.00e-04 | grad 1.83 | tok/s 43402 | elapsed_h 0.085 | time 2026-06-07T15:50:24+00:00
step    720 | loss 6.1836 | lr 3.00e-04 | grad 1.91 | tok/s 43420 | elapsed_h 0.086 | time 2026-06-07T15:50:26+00:00
step    730 | loss 6.2127 | lr 3.00e-04 | grad 1.86 | tok/s 43410 | elapsed_h 0.086 | time 2026-06-07T15:50:28+00:00
step    740 | loss 6.1127 | lr 3.00e-04 | grad 1.74 | tok/s 43333 | elapsed_h 0.087 | time 2026-06-07T15:50:30+00:00
step    750 | loss 6.1187 | lr 3.00e-04 | grad 1.63 | tok/s 43224 | elapsed_h 0.088 | time 2026-06-07T15:50:32+00:00
