Using device: cuda
Output directory: paper/review/wl_lm/raw_gdnneg/leveltyped-gdn2-lm_100m_20260607_154535
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step    410 | loss 6.9527 | lr 3.00e-04 | grad 1.63 | tok/s 47931 | elapsed_h 0.024 | time 2026-06-07T15:46:55+00:00
step    420 | loss 7.0149 | lr 3.00e-04 | grad 1.52 | tok/s 48032 | elapsed_h 0.025 | time 2026-06-07T15:46:56+00:00
step    430 | loss 7.0582 | lr 3.00e-04 | grad 1.62 | tok/s 47272 | elapsed_h 0.025 | time 2026-06-07T15:46:58+00:00
step    440 | loss 6.9670 | lr 3.00e-04 | grad 1.74 | tok/s 47392 | elapsed_h 0.026 | time 2026-06-07T15:47:00+00:00
step    450 | loss 6.9345 | lr 3.00e-04 | grad 1.60 | tok/s 47708 | elapsed_h 0.026 | time 2026-06-07T15:47:02+00:00
step    460 | loss 6.9716 | lr 3.00e-04 | grad 1.59 | tok/s 47743 | elapsed_h 0.027 | time 2026-06-07T15:47:03+00:00
step    470 | loss 6.9450 | lr 3.00e-04 | grad 1.66 | tok/s 47712 | elapsed_h 0.027 | time 2026-06-07T15:47:05+00:00
step    480 | loss 6.8852 | lr 3.00e-04 | grad 1.57 | tok/s 47760 | elapsed_h 0.028 | time 2026-06-07T15:47:07+00:00
step    490 | loss 6.8996 | lr 3.00e-04 | grad 1.90 | tok/s 47678 | elapsed_h 0.028 | time 2026-06-07T15:47:08+00:00
step    500 | loss 6.9376 | lr 3.00e-04 | grad 1.53 | tok/s 47763 | elapsed_h 0.029 | time 2026-06-07T15:47:10+00:00
  >>> validation loss: 9.0862
step    510 | loss 6.8717 | lr 3.00e-04 | grad 1.58 | tok/s 516 | elapsed_h 0.073 | time 2026-06-07T15:49:49+00:00
