Using device: cuda
Output directory: paper/review/wl_lm/delta_none/leveltyped-gdn2-lm_100m_20260607_154539
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.4s, 1040.6s remaining for training.
step    410 | loss 6.3825 | lr 3.00e-04 | grad 1.70 | tok/s 39966 | elapsed_h 0.030 | time 2026-06-07T15:47:19+00:00
step    420 | loss 6.4786 | lr 3.00e-04 | grad 1.49 | tok/s 39955 | elapsed_h 0.030 | time 2026-06-07T15:47:21+00:00
step    430 | loss 6.4228 | lr 3.00e-04 | grad 1.65 | tok/s 39926 | elapsed_h 0.031 | time 2026-06-07T15:47:23+00:00
step    440 | loss 6.3686 | lr 3.00e-04 | grad 1.68 | tok/s 39879 | elapsed_h 0.032 | time 2026-06-07T15:47:25+00:00
step    450 | loss 6.3964 | lr 3.00e-04 | grad 1.78 | tok/s 39910 | elapsed_h 0.032 | time 2026-06-07T15:47:27+00:00
step    460 | loss 6.3255 | lr 3.00e-04 | grad 1.66 | tok/s 39868 | elapsed_h 0.033 | time 2026-06-07T15:47:30+00:00
step    470 | loss 6.3413 | lr 3.00e-04 | grad 1.72 | tok/s 39869 | elapsed_h 0.033 | time 2026-06-07T15:47:32+00:00
step    480 | loss 6.3159 | lr 3.00e-04 | grad 1.94 | tok/s 39905 | elapsed_h 0.034 | time 2026-06-07T15:47:34+00:00
step    490 | loss 6.3804 | lr 3.00e-04 | grad 1.85 | tok/s 39756 | elapsed_h 0.034 | time 2026-06-07T15:47:36+00:00
step    500 | loss 6.3720 | lr 3.00e-04 | grad 1.65 | tok/s 39765 | elapsed_h 0.035 | time 2026-06-07T15:47:38+00:00
  >>> validation loss: 8.8613
step    510 | loss 6.2659 | lr 3.00e-04 | grad 1.59 | tok/s 417 | elapsed_h 0.090 | time 2026-06-07T15:50:55+00:00
step    520 | loss 6.3182 | lr 3.00e-04 | grad 1.75 | tok/s 41703 | elapsed_h 0.090 | time 2026-06-07T15:50:57+00:00
step    530 | loss 6.2434 | lr 3.00e-04 | grad 1.91 | tok/s 41393 | elapsed_h 0.091 | time 2026-06-07T15:50:59+00:00
step    540 | loss 6.3148 | lr 3.00e-04 | grad 1.66 | tok/s 41228 | elapsed_h 0.091 | time 2026-06-07T15:51:01+00:00
step    550 | loss 6.2464 | lr 3.00e-04 | grad 2.08 | tok/s 41558 | elapsed_h 0.092 | time 2026-06-07T15:51:03+00:00
step    560 | loss 6.2765 | lr 3.00e-04 | grad 1.78 | tok/s 41287 | elapsed_h 0.092 | time 2026-06-07T15:51:05+00:00
