Using device: cuda
Output directory: paper/review/wl_lm/delta_gdn/leveltyped-gdn2-lm_100m_20260607_154543
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.9s, 1041.1s remaining for training.
step    410 | loss 6.9910 | lr 3.00e-04 | grad 1.78 | tok/s 45260 | elapsed_h 0.027 | time 2026-06-07T15:47:15+00:00
step    420 | loss 7.0852 | lr 3.00e-04 | grad 1.55 | tok/s 45320 | elapsed_h 0.028 | time 2026-06-07T15:47:17+00:00
step    430 | loss 7.0029 | lr 3.00e-04 | grad 1.62 | tok/s 45292 | elapsed_h 0.028 | time 2026-06-07T15:47:19+00:00
step    440 | loss 6.9646 | lr 3.00e-04 | grad 1.65 | tok/s 45291 | elapsed_h 0.029 | time 2026-06-07T15:47:21+00:00
step    450 | loss 6.9938 | lr 3.00e-04 | grad 1.55 | tok/s 45308 | elapsed_h 0.029 | time 2026-06-07T15:47:22+00:00
step    460 | loss 6.9326 | lr 3.00e-04 | grad 1.59 | tok/s 45277 | elapsed_h 0.030 | time 2026-06-07T15:47:24+00:00
step    470 | loss 6.9234 | lr 3.00e-04 | grad 1.73 | tok/s 45299 | elapsed_h 0.030 | time 2026-06-07T15:47:26+00:00
step    480 | loss 6.8965 | lr 3.00e-04 | grad 1.73 | tok/s 45301 | elapsed_h 0.031 | time 2026-06-07T15:47:28+00:00
step    490 | loss 6.9588 | lr 3.00e-04 | grad 2.06 | tok/s 45284 | elapsed_h 0.031 | time 2026-06-07T15:47:30+00:00
step    500 | loss 6.9423 | lr 3.00e-04 | grad 1.70 | tok/s 45303 | elapsed_h 0.032 | time 2026-06-07T15:47:31+00:00
  >>> validation loss: 9.1044
step    510 | loss 6.8866 | lr 3.00e-04 | grad 1.72 | tok/s 405 | elapsed_h 0.088 | time 2026-06-07T15:50:54+00:00
step    520 | loss 6.8030 | lr 3.00e-04 | grad 1.53 | tok/s 46306 | elapsed_h 0.089 | time 2026-06-07T15:50:56+00:00
step    530 | loss 6.9207 | lr 3.00e-04 | grad 1.53 | tok/s 46005 | elapsed_h 0.089 | time 2026-06-07T15:50:58+00:00
step    540 | loss 6.7993 | lr 3.00e-04 | grad 1.54 | tok/s 45578 | elapsed_h 0.090 | time 2026-06-07T15:51:00+00:00
step    550 | loss 6.8387 | lr 3.00e-04 | grad 1.86 | tok/s 45799 | elapsed_h 0.090 | time 2026-06-07T15:51:01+00:00
step    560 | loss 6.7574 | lr 3.00e-04 | grad 1.53 | tok/s 45809 | elapsed_h 0.091 | time 2026-06-07T15:51:03+00:00
step    570 | loss 6.8934 | lr 3.00e-04 | grad 1.48 | tok/s 45807 | elapsed_h 0.091 | time 2026-06-07T15:51:05+00:00
step    580 | loss 6.8433 | lr 3.00e-04 | grad 1.54 | tok/s 45847 | elapsed_h 0.092 | time 2026-06-07T15:51:07+00:00
step    590 | loss 6.7507 | lr 3.00e-04 | grad 1.42 | tok/s 45752 | elapsed_h 0.092 | time 2026-06-07T15:51:09+00:00
step    600 | loss 6.8134 | lr 3.00e-04 | grad 1.41 | tok/s 45793 | elapsed_h 0.093 | time 2026-06-07T15:51:10+00:00
step    610 | loss 6.7626 | lr 3.00e-04 | grad 1.51 | tok/s 45795 | elapsed_h 0.093 | time 2026-06-07T15:51:12+00:00
step    620 | loss 6.7867 | lr 3.00e-04 | grad 1.42 | tok/s 45804 | elapsed_h 0.094 | time 2026-06-07T15:51:14+00:00
step    630 | loss 6.6673 | lr 3.00e-04 | grad 1.51 | tok/s 45799 | elapsed_h 0.094 | time 2026-06-07T15:51:16+00:00
step    640 | loss 6.8126 | lr 3.00e-04 | grad 1.52 | tok/s 45802 | elapsed_h 0.095 | time 2026-06-07T15:51:18+00:00
step    650 | loss 6.6809 | lr 3.00e-04 | grad 1.54 | tok/s 45799 | elapsed_h 0.095 | time 2026-06-07T15:51:19+00:00
step    660 | loss 6.7856 | lr 3.00e-04 | grad 1.48 | tok/s 45798 | elapsed_h 0.096 | time 2026-06-07T15:51:21+00:00
step    670 | loss 6.7626 | lr 3.00e-04 | grad 1.39 | tok/s 45807 | elapsed_h 0.096 | time 2026-06-07T15:51:23+00:00
step    680 | loss 6.7529 | lr 3.00e-04 | grad 1.39 | tok/s 45792 | elapsed_h 0.097 | time 2026-06-07T15:51:25+00:00
step    690 | loss 6.6180 | lr 3.00e-04 | grad 1.55 | tok/s 45910 | elapsed_h 0.097 | time 2026-06-07T15:51:27+00:00
step    700 | loss 6.7136 | lr 3.00e-04 | grad 1.64 | tok/s 45696 | elapsed_h 0.098 | time 2026-06-07T15:51:28+00:00
step    710 | loss 6.6315 | lr 3.00e-04 | grad 1.43 | tok/s 45799 | elapsed_h 0.098 | time 2026-06-07T15:51:30+00:00
step    720 | loss 6.6560 | lr 3.00e-04 | grad 1.33 | tok/s 45805 | elapsed_h 0.099 | time 2026-06-07T15:51:32+00:00
step    730 | loss 6.6892 | lr 3.00e-04 | grad 1.42 | tok/s 45772 | elapsed_h 0.099 | time 2026-06-07T15:51:34+00:00
step    740 | loss 6.6648 | lr 3.00e-04 | grad 1.48 | tok/s 45809 | elapsed_h 0.100 | time 2026-06-07T15:51:36+00:00
step    750 | loss 6.7021 | lr 3.00e-04 | grad 2.17 | tok/s 45816 | elapsed_h 0.100 | time 2026-06-07T15:51:37+00:00
step    760 | loss 6.5912 | lr 3.00e-04 | grad 1.45 | tok/s 45791 | elapsed_h 0.101 | time 2026-06-07T15:51:39+00:00
