task,dim,arm,eval_T,mean_acc,std,n_seeds
s5_permutation,256,gdn2,512,0.9986,0.0006,3
s5_permutation,256,gdn2typed,128,1.0000,0.0000,3
s5_permutation,256,gdn2typed,256,1.0000,0.0000,3
s5_permutation,256,gdn2typed,512,0.9979,0.0012,3
s5_permutation,384,emender_cma,128,1.0000,0.0000,3
s5_permutation,384,emender_cma,256,0.7745,0.1621,3
s5_permutation,384,emender_cma,512,0.5647,0.3051,3
s5_permutation,384,gdn2,128,1.0000,0.0000,3
s5_permutation,384,gdn2,256,0.9995,0.0007,3
s5_permutation,384,gdn2,512,0.9353,0.0893,3
s5_permutation,384,gdn2typed,128,1.0000,0.0000,3
s5_permutation,384,gdn2typed,256,1.0000,0.0000,3
s5_permutation,384,gdn2typed,512,0.9947,0.0039,3
s5_permutation,512,emender_cma,128,1.0000,0.0000,3
s5_permutation,512,emender_cma,256,0.6130,0.0178,3
s5_permutation,512,emender_cma,512,0.3146,0.0091,3
s5_permutation,512,gdn2,128,1.0000,0.0000,3
s5_permutation,512,gdn2,256,1.0000,0.0000,3
s5_permutation,512,gdn2,512,0.9981,0.0016,3
s5_permutation,512,gdn2typed,128,1.0000,0.0000,3
s5_permutation,512,gdn2typed,256,1.0000,0.0000,3
s5_permutation,512,gdn2typed,512,0.9958,0.0034,3
s5_permutation,768,emender_cma,128,1.0000,0.0000,3
s5_permutation,768,emender_cma,256,0.7385,0.1849,3
s5_permutation,768,emender_cma,512,0.5410,0.3232,3
s5_permutation,768,gdn2,128,1.0000,0.0000,3
s5_permutation,768,gdn2,256,1.0000,0.0000,3
s5_permutation,768,gdn2,512,0.9994,0.0003,3
s5_permutation,768,gdn2typed,128,1.0000,0.0000,3
s5_permutation,768,gdn2typed,256,1.0000,0.0000,3
s5_permutation,768,gdn2typed,512,0.9887,0.0114,3
s5_permutation,1024,emender_cma,128,1.0000,0.0000,3
s5_permutation,1024,emender_cma,256,0.6082,0.0051,3
s5_permutation,1024,emender_cma,512,0.3122,0.0034,3
s5_permutation,1024,gdn2,128,1.0000,0.0000,3
s5_permutation,1024,gdn2,256,0.9990,0.0013,3
s5_permutation,1024,gdn2,512,0.8931,0.1381,3
s5_permutation,1024,gdn2typed,128,1.0000,0.0000,3
s5_permutation,1024,gdn2typed,256,0.9999,0.0000,3
s5_permutation,1024,gdn2typed,512,0.9896,0.0026,3
