name,gen,a_delta,a_track,f_delta,f_track,dim,model_params,heldout_bpb,tok_s,avg_loss,fused_asserted
cma_g10_e2,10,-2.5266059852981377,-3.2745135892672668,0.0625,0.03125,448,41873264,2.38409,39665.9,6.45107,True
cma_g10_e3,10,-2.823711975849451,-2.396472796049435,0.0625,0.0625,448,42092640,2.40327,42643.3,6.53161,True
cma_g10_e4,10,-2.0214282647005795,-3.8625178356625223,0.125,0.0,448,42099328,2.38784,54310.2,6.51973,True
cma_g10_e5,10,-1.8752175128528301,-3.848917781186427,0.125,0.03125,448,42318704,2.38784,43225.9,6.44213,True
cma_g10_e6,10,-2.296722532416047,-3.2358100019762,0.09375,0.03125,448,42095984,2.38737,41737.1,6.4846,True
cma_g10_e7,10,-2.476367086668694,-2.979216047556011,0.0625,0.0625,448,42092640,2.40327,42223.6,6.52786,True
cma_g11_e0,11,-2.5400709684488763,-2.9066215597789515,0.0625,0.0625,448,42092640,2.39158,43703.1,6.49537,True
cma_g11_e1,11,-2.6293539575163427,-2.2115941199172138,0.0625,0.09375,448,42312016,2.40749,38444.9,6.51751,True
cma_g11_e2,11,-2.4051011610815207,-4.1812276219027,0.09375,0.0,448,41876608,2.38316,52421.9,6.50631,True
cma_g11_e3,11,-2.1306682299267483,-3.3577954774760483,0.09375,0.03125,448,42095984,2.40515,42015.1,6.47225,True
cma_g11_e4,11,-2.383145396897678,-3.287316715434241,0.09375,0.03125,448,42095984,2.39439,41439.4,6.47956,True
cma_g11_e5,11,-2.465514985454653,-3.7520793910452213,0.0625,0.03125,448,41873264,2.38456,42736.3,6.45288,True
cma_g11_e6,11,-1.9336841629360955,-4.440303462820771,0.125,0.0,448,42099328,2.3855,54177.4,6.5192,True
cma_g11_e7,11,-2.342743540212894,-3.1970985842575836,0.09375,0.03125,448,42095984,2.3724,40307.7,6.46681,True
cma_g12_e0,12,-2.2544283047196276,-4.064394011219382,0.09375,0.0,448,41876608,2.38784,56201.2,6.47974,True
cma_g12_e1,12,-2.4413591915222987,-3.4842951292189155,0.0625,0.03125,448,41873264,2.38363,42249.2,6.46632,True
cma_g12_e2,12,-2.2051171546560164,-3.4958384134341247,0.09375,0.03125,448,42095984,2.37053,39415.9,6.45698,True
cma_g12_e3,12,-2.23595879641505,-4.01762767446966,0.09375,0.03125,448,42095984,2.40515,42844.6,6.47225,True
