step,tokens,ce,bpb,split,checkpoint
66000,540672000,3.31497842,1.23319882,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i2_k250/train/levelE97_100m_20260617_071914/checkpoint_step_066000_loss_3.3715.pt
67500,552960000,3.28109649,1.22059446,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i2_k250/train/levelE97_100m_20260617_071914/checkpoint_step_067500_loss_3.3657.pt
69000,565248000,3.26020086,1.21282112,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i2_k250/train/levelE97_100m_20260617_071914/checkpoint_step_069000_loss_3.2975.pt
70000,573440000,3.24725878,1.20800656,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i2_k250/train/levelE97_100m_20260617_071914/checkpoint_step_070000_loss_3.2631.pt
