step,tokens,ce,bpb,split,checkpoint
66000,540672000,3.28605416,1.22243876,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_k250/train/levelE97_100m_20260617_091340/checkpoint_step_066000_loss_3.0132.pt
67500,552960000,3.23981771,1.20523842,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_k250/train/levelE97_100m_20260617_091340/checkpoint_step_067500_loss_3.2337.pt
69000,565248000,3.20999858,1.19414547,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_k250/train/levelE97_100m_20260617_091340/checkpoint_step_069000_loss_3.3324.pt
70000,573440000,3.19693959,1.18928742,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_k250/train/levelE97_100m_20260617_091340/checkpoint_step_070000_loss_3.1855.pt
