step,tokens,ce,bpb,split,checkpoint
21500,176128000,3.86113784,1.43637454,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_021500_loss_3.7778.pt
43000,352256000,3.49726951,1.30101258,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_043000_loss_3.6134.pt
64500,528384000,3.72338527,1.38512947,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_064500_loss_3.1246.pt
86000,704512000,3.39701846,1.26371838,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_086000_loss_3.2462.pt
107500,880640000,3.49814194,1.30133713,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_107500_loss_2.9974.pt
