step,tokens,ce,bpb,split,checkpoint
66000,540672000,8.59745455,3.19832272,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_mom_k250/train/levelE97_100m_20260617_105624/checkpoint_step_066000_loss_6.0817.pt
67500,552960000,35.25523090,13.11523140,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_mom_k250/train/levelE97_100m_20260617_105624/checkpoint_step_067500_loss_8.8076.pt
69000,565248000,55.47589588,20.63748252,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_mom_k250/train/levelE97_100m_20260617_105624/checkpoint_step_069000_loss_14.7494.pt
70000,573440000,97.83010292,36.39359053,primary,/mnt/nvme1n1/erikg/diloco_sweep/swell_i4_mom_k250/train/levelE97_100m_20260617_105624/checkpoint_step_070000_loss_19.5658.pt
