model,step,loss,accuracy,correct,n,arc_challenge,arc_easy,boolq,hellaswag,openbookqa,sciq,source
E88,957000,2.6113458466529846,0.345046364080039,707,2049,0.23745819397993312,0.35428571428571426,0.4142857142857143,0.32285714285714284,0.22857142857142856,0.49714285714285716,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/fact_e88_fla/eval.json
E88,957000,2.6113458466529846,0.34699853587115664,711,2049,0.2408026755852843,0.3514285714285714,0.41714285714285715,0.32857142857142857,0.22857142857142856,0.5,racer_eval_runs/ctx2k_panel_2k_20260522/e88_fla/snapshot_20260522_215134/eval.json
FLA-GDN,1269000,2.66148193359375,0.36798438262567107,754,2049,0.25752508361204013,0.3657142857142857,0.5857142857142857,0.31142857142857144,0.23142857142857143,0.44,racer_eval_runs/ctx2k_panel_2k_20260522/e88_fla/snapshot_20260522_215134/eval.json
FLA-GDN,1272000,2.708081693649292,0.3728648121034651,764,2049,0.25752508361204013,0.4085714285714286,0.56,0.3057142857142857,0.24,0.44857142857142857,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/fact_e88_fla/eval.json
M2RNN,876000,2.703966209888458,0.36798438262567107,754,2049,0.2608695652173913,0.34,0.5628571428571428,0.3142857142857143,0.2714285714285714,0.44285714285714284,racer_eval_runs/ctx2k_panel_2k_20260522/mamba_m2/snapshot_20260522_215134/eval.json
M2RNN,879000,2.756137866973877,0.358223523670083,734,2049,0.23745819397993312,0.34,0.5457142857142857,0.30857142857142855,0.2571428571428571,0.44285714285714284,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/fact_mamba_m2/eval.json
Mamba2,1719000,2.6527038264274596,0.36066373840898,739,2049,0.26755852842809363,0.35428571428571426,0.5371428571428571,0.2885714285714286,0.23714285714285716,0.4657142857142857,racer_eval_runs/ctx2k_panel_2k_20260522/mamba_m2/snapshot_20260522_215134/eval.json
Mamba2,1722000,2.676243896484375,0.35334309419228893,724,2049,0.24749163879598662,0.3485714285714286,0.5342857142857143,0.29714285714285715,0.22857142857142856,0.44857142857142857,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/fact_mamba_m2/eval.json
