model,step,loss,accuracy,correct,n,bbh_boolean_expressions,bbh_causal_judgement,bbh_date_understanding,bbh_disambiguation_qa,bbh_formal_fallacies,bbh_logical_deduction_three_objects,bbh_logical_deduction_five_objects,bbh_logical_deduction_seven_objects,bbh_tracking_shuffled_objects_three_objects,bbh_tracking_shuffled_objects_five_objects,bbh_tracking_shuffled_objects_seven_objects,bbh_web_of_lies,folio,reclor,source
E88,957000,2.6113458466529846,0.3193359375,654,2048,0.593103448275862,0.4863013698630137,0.30344827586206896,0.4225352112676056,0.423841059602649,0.3493150684931507,0.21333333333333335,0.11409395973154363,0.26666666666666666,0.16,0.11029411764705882,0.42657342657342656,0.36666666666666664,0.23448275862068965,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/reasoning_e88_fla/eval.json
FLA-GDN,1272000,2.708081693649292,0.349609375,716,2048,0.593103448275862,0.5068493150684932,0.32413793103448274,0.4154929577464789,0.5695364238410596,0.3082191780821918,0.21333333333333335,0.1610738255033557,0.3,0.18666666666666668,0.125,0.6013986013986014,0.36,0.22758620689655173,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/reasoning_e88_fla/eval.json
M2RNN,879000,2.756137866973877,0.3359375,688,2048,0.593103448275862,0.5068493150684932,0.32413793103448274,0.3591549295774648,0.5960264900662252,0.3493150684931507,0.22666666666666666,0.12751677852348994,0.3,0.17333333333333334,0.1323529411764706,0.43356643356643354,0.36,0.21379310344827587,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/reasoning_mamba_m2/eval.json
Mamba2,1722000,2.676243896484375,0.32421875,664,2048,0.5793103448275863,0.5205479452054794,0.2482758620689655,0.3873239436619718,0.4370860927152318,0.3904109589041096,0.18,0.1476510067114094,0.3,0.22,0.09558823529411764,0.5104895104895105,0.3333333333333333,0.18620689655172415,racer_eval_runs/ctx2k_fact_reasoning_20260522/snapshot_20260522_223345/reasoning_mamba_m2/eval.json
