step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
10,40960,1.17984e+14,4.1416,4.1416,5.9751,1.22365e+13
20,81920,2.35967e+14,2.8926,3.5171,5.0741,2.23815e+13
30,122880,3.53951e+14,2.7165,3.2502,4.6891,3.23895e+13
40,163840,4.71934e+14,2.4673,3.0545,4.4067,4.20982e+13
50,204800,5.89918e+14,3.0566,3.0549,4.4073,5.26256e+13
60,245760,7.07901e+14,2.0843,2.8931,4.1739,6.18627e+13
70,286720,8.25885e+14,1.8589,2.7454,3.9608,7.08533e+13
80,327680,9.43869e+14,6.4822,3.2125,4.6347,8.59439e+13
90,368640,1.06185e+15,5.7190,3.4910,5.0364,1.00359e+14
100,409600,1.17984e+15,4.2602,3.5679,5.1474,1.12691e+14
110,450560,1.29782e+15,3.5337,3.5648,5.1429,1.23907e+14
120,491520,1.4158e+15,3.2769,3.5408,5.1083,1.34727e+14
130,532480,1.53379e+15,2.9593,3.4961,5.0438,1.45063e+14
140,573440,1.65177e+15,2.7397,3.4421,4.9658,1.55078e+14
150,614400,1.76975e+15,2.7803,3.3979,4.9022,1.65168e+14
160,655360,1.88774e+15,2.4087,3.3361,4.8130,1.74725e+14
170,696320,2.00572e+15,2.4984,3.2868,4.7419,1.84432e+14
180,737280,2.1237e+15,2.2721,3.2305,4.6606,1.93831e+14
190,778240,2.24169e+15,2.4050,3.1870,4.5979,2.03436e+14
200,819200,2.35967e+15,2.0845,3.1319,4.5184,2.12608e+14
210,860160,2.47766e+15,2.1828,3.0867,4.4532,2.21935e+14
220,901120,2.59564e+15,2.1860,3.0458,4.3941,2.3128e+14
230,942080,2.71362e+15,2.0921,3.0043,4.3343,2.4051e+14
240,983040,2.83161e+15,2.3112,2.9754,4.2926,2.50044e+14
250,1024000,2.94959e+15,2.1075,2.9407,4.2425,2.59316e+14
260,1064960,3.06757e+15,1.5309,2.8865,4.1643,2.67846e+14
270,1105920,3.18556e+15,2.0845,2.8568,4.1214,2.77111e+14
280,1146880,3.30354e+15,2.2536,2.8352,4.0904,2.866e+14
290,1187840,3.42152e+15,1.3818,2.7851,4.0181,2.94985e+14
