step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
860,3522560,1.05681e+16,1.4644,1.6232,2.3418,7.96073e+14
870,3563520,1.0691e+16,1.4859,1.6163,2.3318,8.04726e+14
880,3604480,1.08138e+16,1.6580,1.6149,2.3298,8.13851e+14
890,3645440,1.09367e+16,1.6533,1.6179,2.3341,8.23368e+14
900,3686400,1.10596e+16,1.5300,1.6188,2.3355,8.32704e+14
910,3727360,1.11825e+16,1.4212,1.6209,2.3385,8.42149e+14
920,3768320,1.13054e+16,1.5334,1.6159,2.3312,8.50936e+14
930,3809280,1.14283e+16,1.5685,1.6055,2.3163,8.59219e+14
940,3850240,1.15512e+16,1.3951,1.5913,2.2957,8.67118e+14
950,3891200,1.1674e+16,1.4524,1.5816,2.2817,8.75424e+14
960,3932160,1.17969e+16,1.3043,1.5725,2.2686,8.83771e+14
970,3973120,1.19198e+16,1.7035,1.5707,2.2660,8.92799e+14
980,4014080,1.20427e+16,1.5944,1.5591,2.2493,9.0088e+14
990,4055040,1.21656e+16,1.4526,1.5530,2.2405,9.09473e+14
1000,4096000,1.22885e+16,1.8299,1.5564,2.2455,9.18999e+14
1010,4136960,1.24113e+16,1.6808,1.5566,2.2457,9.28205e+14
1020,4177920,1.25342e+16,1.6109,1.5554,2.2440,9.37276e+14
1030,4218880,1.26571e+16,1.4506,1.5475,2.2325,9.45655e+14
1040,4259840,1.278e+16,1.4678,1.5427,2.2256,9.54344e+14
1050,4300800,1.29029e+16,1.5703,1.5430,2.2261,9.63554e+14
1060,4341760,1.30258e+16,1.6993,1.5432,2.2264,9.72749e+14
1070,4382720,1.31487e+16,1.6249,1.5433,2.2265,9.81935e+14
1080,4423680,1.32715e+16,1.3757,1.5400,2.2217,9.90759e+14
1090,4464640,1.33944e+16,1.0987,1.5254,2.2007,9.98364e+14
1100,4505600,1.35173e+16,1.4159,1.5176,2.1895,1.00669e+15
1110,4546560,1.36402e+16,1.4359,1.5140,2.1843,1.01544e+15
1120,4587520,1.37631e+16,1.3239,1.5100,2.1784,1.02414e+15
1130,4628480,1.3886e+16,1.2729,1.5023,2.1674,1.03244e+15
1140,4669440,1.40088e+16,1.2651,1.4919,2.1524,1.04041e+15
1150,4710400,1.41317e+16,1.2820,1.4848,2.1422,1.04875e+15
1160,4751360,1.42546e+16,1.1987,1.4754,2.1286,1.0568e+15
1170,4792320,1.43775e+16,1.2287,1.4634,2.1112,1.06454e+15
1180,4833280,1.45004e+16,1.3261,1.4561,2.1007,1.0728e+15
1190,4874240,1.46233e+16,1.2172,1.4443,2.0837,1.08053e+15
1200,4915200,1.47462e+16,1.2001,1.4398,2.0772,1.0891e+15
1210,4956160,1.4869e+16,1.2572,1.4337,2.0684,1.09746e+15
1220,4997120,1.49919e+16,1.2693,1.4301,2.0633,1.10611e+15
1230,5038080,1.51148e+16,1.2448,1.4282,2.0604,1.11494e+15
1240,5079040,1.52377e+16,1.2047,1.4221,2.0516,1.12327e+15
1250,5120000,1.53606e+16,1.8075,1.4331,2.0675,1.13366e+15
1260,5160960,1.54835e+16,1.3789,1.4377,2.0742,1.1433e+15
1270,5201920,1.56063e+16,1.6238,1.4484,2.0896,1.15368e+15
1280,5242880,1.57292e+16,1.5743,1.4589,2.1048,1.16407e+15
1290,5283840,1.58521e+16,1.4405,1.4646,2.1130,1.17388e+15
