step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
860,3522560,1.04441e+16,1.4468,1.5112,2.1802,7.77274e+14
870,3563520,1.05656e+16,1.5123,1.5094,2.1776,7.86163e+14
880,3604480,1.0687e+16,1.5517,1.5115,2.1806,7.95379e+14
890,3645440,1.08085e+16,1.4537,1.5129,2.1826,8.04536e+14
900,3686400,1.09299e+16,1.3333,1.5145,2.1849,8.13714e+14
910,3727360,1.10514e+16,1.4360,1.5129,2.1826,8.22616e+14
920,3768320,1.11728e+16,1.5025,1.5029,2.1683,8.30768e+14
930,3809280,1.12942e+16,1.3513,1.4917,2.1520,8.38784e+14
940,3850240,1.14157e+16,1.3669,1.4831,2.1397,8.47028e+14
950,3891200,1.15371e+16,1.2141,1.4725,2.1243,8.55065e+14
960,3932160,1.16586e+16,1.5163,1.4702,2.1210,8.63851e+14
970,3973120,1.178e+16,1.6068,1.4639,2.1120,8.72268e+14
980,4014080,1.19015e+16,1.3513,1.4558,2.1003,8.80495e+14
990,4055040,1.20229e+16,1.5837,1.4575,2.1027,8.89642e+14
1000,4096000,1.21443e+16,1.6841,1.4592,2.1052,8.98794e+14
1010,4136960,1.22658e+16,1.5528,1.4585,2.1042,9.07715e+14
1020,4177920,1.23872e+16,1.3713,1.4514,2.0939,9.16006e+14
1030,4218880,1.25087e+16,1.3937,1.4465,2.0869,9.24502e+14
1040,4259840,1.26301e+16,1.3961,1.4455,2.0855,9.33381e+14
1050,4300800,1.27516e+16,1.6236,1.4463,2.0865,9.42432e+14
1060,4341760,1.2873e+16,1.5697,1.4468,2.0873,9.51461e+14
1070,4382720,1.29945e+16,1.3873,1.4461,2.0863,9.60365e+14
1080,4423680,1.31159e+16,1.1667,1.4376,2.0740,9.68463e+14
1090,4464640,1.32373e+16,1.1301,1.4251,2.0560,9.76131e+14
1100,4505600,1.33588e+16,1.4215,1.4230,2.0530,9.84869e+14
1110,4546560,1.34802e+16,1.2727,1.4192,2.0475,9.9342e+14
1120,4587520,1.36017e+16,1.2224,1.4126,2.0379,1.00166e+15
1130,4628480,1.37231e+16,1.1852,1.4032,2.0243,1.00959e+15
1140,4669440,1.38446e+16,1.2375,1.3970,2.0155,1.01787e+15
1150,4710400,1.3966e+16,1.1421,1.3876,2.0018,1.02577e+15
1160,4751360,1.40874e+16,1.1605,1.3775,1.9873,1.03358e+15
1170,4792320,1.42089e+16,1.2693,1.3694,1.9757,1.0416e+15
1180,4833280,1.43303e+16,1.1521,1.3592,1.9609,1.04937e+15
1190,4874240,1.44518e+16,1.1202,1.3545,1.9541,1.05774e+15
1200,4915200,1.45732e+16,1.1834,1.3485,1.9455,1.06595e+15
1210,4956160,1.46947e+16,1.2246,1.3462,1.9422,1.07457e+15
1220,4997120,1.48161e+16,1.1739,1.3443,1.9394,1.08324e+15
1230,5038080,1.49375e+16,1.1549,1.3389,1.9316,1.09149e+15
1240,5079040,1.5059e+16,1.5910,1.3476,1.9442,1.10138e+15
1250,5120000,1.51804e+16,1.4623,1.3558,1.9560,1.11122e+15
1260,5160960,1.53019e+16,1.3119,1.3619,1.9648,1.12084e+15
