step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
860,3522560,1.0329e+16,1.3922,1.5507,2.2371,7.71979e+14
870,3563520,1.04491e+16,1.4217,1.5449,2.2288,7.80467e+14
880,3604480,1.05692e+16,1.5672,1.5424,2.2252,7.89226e+14
890,3645440,1.06893e+16,1.5824,1.5448,2.2287,7.98402e+14
900,3686400,1.08094e+16,1.4736,1.5458,2.2301,8.07458e+14
910,3727360,1.09295e+16,1.3520,1.5485,2.2340,8.16669e+14
920,3768320,1.10496e+16,1.4512,1.5431,2.2262,8.25163e+14
930,3809280,1.11697e+16,1.4956,1.5320,2.2102,8.33134e+14
940,3850240,1.12898e+16,1.3016,1.5162,2.1874,8.40664e+14
950,3891200,1.14099e+16,1.4159,1.5083,2.1760,8.48887e+14
960,3932160,1.153e+16,1.2584,1.5006,2.1649,8.57114e+14
970,3973120,1.16502e+16,1.6284,1.4987,2.1622,8.65869e+14
980,4014080,1.17703e+16,1.5445,1.4866,2.1446,8.73657e+14
990,4055040,1.18904e+16,1.3726,1.4801,2.1353,8.81961e+14
1000,4096000,1.20105e+16,1.7348,1.4831,2.1397,8.91158e+14
1010,4136960,1.21306e+16,1.5754,1.4825,2.1387,9.00008e+14
1020,4177920,1.22507e+16,1.5625,1.4822,2.1383,9.08888e+14
1030,4218880,1.23708e+16,1.3749,1.4733,2.1255,9.16927e+14
1040,4259840,1.24909e+16,1.4156,1.4690,2.1193,9.25403e+14
1050,4300800,1.2611e+16,1.5182,1.4695,2.1200,9.34353e+14
1060,4341760,1.27311e+16,1.6435,1.4698,2.1205,9.43287e+14
1070,4382720,1.28512e+16,1.5604,1.4697,2.1204,9.52176e+14
1080,4423680,1.29713e+16,1.3143,1.4669,2.1162,9.60779e+14
1090,4464640,1.30914e+16,1.0391,1.4526,2.0956,9.68198e+14
1100,4505600,1.32115e+16,1.3415,1.4454,2.0852,9.7633e+14
1110,4546560,1.33316e+16,1.3861,1.4422,2.0806,9.84872e+14
1120,4587520,1.34517e+16,1.2607,1.4381,2.0747,9.93312e+14
1130,4628480,1.35718e+16,1.2200,1.4311,2.0646,1.00143e+15
1140,4669440,1.36919e+16,1.2080,1.4211,2.0502,1.00922e+15
1150,4710400,1.3812e+16,1.2204,1.4133,2.0389,1.01723e+15
