step,tokens,ce,bpb,split,checkpoint
21500,176128000,3.83883515,1.40382326,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_021500_loss_3.7778.pt
43000,352256000,3.51123617,1.28402362,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_043000_loss_3.6134.pt
64500,528384000,3.74717553,1.37030426,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_064500_loss_3.1246.pt
86000,704512000,3.40743808,1.24606571,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_086000_loss_3.2462.pt
107500,880640000,3.51608612,1.28579720,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_107500_loss_2.9974.pt
129000,1056768000,3.34159115,1.22198615,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_129000_loss_3.1436.pt
150500,1232896000,3.35816860,1.22804836,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_150500_loss_3.0442.pt
