axis,n_emender,n_gdn2,final_tokens,emender_acc,gdn2_acc,delta_final,delta_ci95,ci_excludes_0,delta_slope_per_100M_tok,verdict
knowledge_overall,300,300,1228800000,0.2967,0.3400,-0.0433,"[-0.1200,+0.0300]",False,-0.00211,converge/null
reasoning_overall,2048,2048,1228800000,0.3262,0.3296,-0.0034,"[-0.0322,+0.0249]",False,-0.00080,converge/null
state_tracking,436,436,1228800000,0.2179,0.2087,+0.0092,"[-0.0459,+0.0642]",False,-0.00297,converge/null
logical_deduction,445,445,1228800000,0.2180,0.2404,-0.0225,"[-0.0787,+0.0337]",False,-0.00149,converge/null
web_of_lies,143,143,1228800000,0.5804,0.5035,+0.0769,"[-0.0420,+0.1888]",False,+0.00174,converge/null
st_three,150,150,1228800000,0.3133,0.3000,+0.0133,"[-0.0933,+0.1133]",False,-0.00514,converge/null
st_five,150,150,1228800000,0.2067,0.2200,-0.0133,"[-0.1067,+0.0800]",False,-0.00376,converge/null
st_seven,136,136,1228800000,0.1250,0.0956,+0.0294,"[-0.0441,+0.1029]",False,+0.00031,converge/null
