eval_id,dim,n_heads,n_state,depth,lr,batch_size,params_b,avg_loss,final_loss,last_step_loss,median_tok_s,n_steps,tokens,train_minutes,proj_full_run_gpu_days,success,error
7,2944,110,32,21,0.0011169951448978207,2,1.3272,8.0998325,8.0998,7.2581,2230.0,400,1639200,14.82,519.017,True,
22,3072,103,32,22,0.0009259117059859604,2,1.3584,8.13739,8.1374,7.5969,2195.0,400,1639200,14.94,527.293,True,
9,2816,88,32,24,0.0007961614384340935,2,1.1729,8.137858,8.1379,7.3142,2713.0,500,2049000,15.0,426.615,True,
3,3200,90,32,23,0.0012552100276583152,2,1.3077,8.142844736842106,8.1428,7.4992,2320.0,380,1557240,14.82,498.883,True,
4,3328,83,32,23,0.0012396230662802938,2,1.2684,8.17846,8.1785,7.4717,2382.0,400,1639200,14.88,485.897,True,
6,3072,102,32,21,0.0008292856058141517,2,1.2932,8.193035,8.193,7.5027,2208.0,400,1639200,14.88,524.188,True,
12,2688,107,32,25,0.0010698194947630112,2,1.3801,8.21757435897436,8.2176,7.3359,2138.0,390,1598220,14.76,541.351,True,
2,2944,89,32,23,0.0006687941625009371,2,1.1922,8.254771794871795,8.2548,7.4495,2379.0,390,1598220,14.82,486.51,True,
1,3200,99,32,21,0.0007130752129067992,2,1.3144,8.344889743589743,8.3449,7.6216,2356.0,390,1598220,15.0,491.26,True,
5,3200,97,32,22,0.0006357994580416065,2,1.3421,8.449573684210526,8.4496,7.6619,2297.0,380,1557240,14.7,503.878,True,
